Alias,Last Active,Status,Origin,Target Industries,Target Countries,Actor Type,Motivation
"TA505, CraP2P, Necurs spam botnet",Apr 2019,Inactive,"Russian Federation, Eastern Europe",2,0,eCrime,Criminal
"Tick, BRONZE BUTLER, Redbaldknight",Mar 2019,Retired,China,5,4,Targeted,State-Sponsored
The Dark Overlord,Jan 2019,Inactive,United States,6,1,eCrime,Criminal
Taidoor,Jan 2019,Inactive,China,4,3,Targeted,State-Sponsored
"GOLD LOWELL, Samas, SamSam, Samsa, SamsamCrypt",Nov 2018,Inactive,Iran,5,1,eCrime,Criminal
APT26,Oct 2018,Inactive,China,3,1,Targeted,State-Sponsored
Buhtrap,Oct 2018,Inactive,Russian Federation,1,2,eCrime,Criminal
"Cutwail (v1), 0bulk Psyche Evolution R4",Oct 2018,Inactive,"Russian Federation, Eastern Europe",1,0,eCrime,Criminal
"Panda Banker, Panda Zeus",Oct 2018,Inactive,"Russian Federation, Eastern Europe",6,9,eCrime,Criminal
"z*Stealer, MKL Keylogger, MBS Bitcoin Stealer, CPPGURU, C++ GURU, sw^team, Quant Pro Professional Loader , Madness PRO DDoS",Oct 2018,Inactive,"Russian Federation, Eastern Europe",4,0,eCrime,Criminal
SLEEPY SAINT,Sep 2018,Inactive,Georgia,2,2,Targeted,State-Sponsored
"POTASSIUM, Cloud Hopper, HOGFISH, ChessMaster, APT10, menuPass, happyyongzi",Jul 2018,Retired,China,12,12,Targeted,State-Sponsored
"RASPITE, Leafminer",Jun 2018,Inactive,Iran,4,2,Targeted,State-Sponsored
"Group 72, Black Vine, WebMasters, APT19, Codoso, Webfans, PinkPanther, KungFu Kittens, BRONZE FIRESTONE, MadHatter",Jan 2018,Inactive,China,16,14,Targeted,State-Sponsored
Locky,Dec 2017,Inactive,"Russian Federation, Eastern Europe",1,0,eCrime,Criminal
Cerber,Dec 2017,Inactive,Russian Federation,0,0,eCrime,Criminal
Temp.Zhenbao,Dec 2017,Inactive,China,4,4,Targeted,State-Sponsored
Group 42,Nov 2017,Inactive,Iran,3,3,Targeted,State-Sponsored
"APT-12, Dyn Calc, DNS Port Calc, Ixeshi, Chainlink",Sep 2017,Inactive,China,4,4,Targeted,State-Sponsored
CoreBot,Jun 2017,Inactive,Russian Federation,1,5,eCrime,Criminal
"admin@338, MAGNESIUM",May 2017,Retired,China,7,3,Targeted,State-Sponsored
"Peacomm, Nuwar, Waledac, Hlux, Kelihos, Storm Worm",Apr 2017,Inactive,Russian Federation,0,0,eCrime,Criminal
"BORON, APT3, TG-0110, UPS",Apr 2017,Retired,China,10,4,Targeted,State-Sponsored
Shamoon,Dec 2016,Inactive,Iran,11,1,Targeted,State-Sponsored
